"","box","Laid","Hatch","Fledge","Fail","year","site"
"145","Z26",2023-04-17,2023-05-06,2023-06-11,NA,2023,"Z"
"146","Z27",2023-04-28,2023-05-16,2023-06-18,NA,2023,"Z"
"147","Z31",2023-04-11,2023-05-01,2023-06-05,NA,2023,"Z"
"148","Z38",2023-04-16,2023-05-06,2023-06-11,NA,2023,"Z"
"149","Z42",2023-04-21,2023-05-11,2023-06-15,NA,2023,"Z"
"150","Z10",2023-04-22,2023-05-09,2023-06-13,NA,2023,"Z"
"151","Z21",2023-04-21,2023-05-10,2023-06-13,NA,2023,"Z"
"152","Z25",2023-04-21,NA,NA,2023-05-16,2023,"Z"
"153","Z44",2023-04-19,NA,NA,2023-05-09,2023,"Z"
"154","Y06",2023-04-18,2023-05-08,NA,2023-05-12,2023,"Y"
"155","Y14",2023-04-28,2023-05-14,NA,2023-05-21,2023,"Y"
"156","Y27",2023-04-20,2023-05-09,2023-06-15,NA,2023,"Y"
"157","Y32",2023-04-20,2023-05-09,2023-06-16,NA,2023,"Y"
"158","X39",2023-04-17,2023-05-06,NA,2023-05-10,2023,"X"
"159","Y25",2023-04-22,2023-05-09,2023-06-14,NA,2023,"Y"
"160","Y34",2023-04-19,2023-05-10,NA,2023-05-15,2023,"Y"
"161","Z30",2023-04-20,2023-05-09,2023-06-12,NA,2023,"Z"
"162","Z22",2023-04-12,2023-05-03,2023-06-10,NA,2023,"Z"
"163","X32",2023-04-22,2023-05-11,2023-06-15,NA,2023,"X"
"164","Z33",2023-04-21,2023-05-10,2023-06-14,NA,2023,"Z"
"165","X20",2023-04-21,2023-05-10,NA,2023-05-29,2023,"X"
"166","X21",2023-04-17,2023-05-07,NA,2023-06-06,2023,"X"
"167","Y12",2023-04-22,2023-05-11,2023-06-16,NA,2023,"Y"
"168","Z32",2023-04-27,2023-05-17,2023-06-22,NA,2023,"Z"
"169","Y33",2023-04-30,2023-05-17,2023-06-22,NA,2023,"Y"
"170","Y31",2023-04-19,2023-05-08,NA,2023-05-13,2023,"Y"
"171","X27",2023-04-16,2023-05-03,2023-06-06,NA,2023,"X"
"172","MW02",NA,NA,NA,NA,2023,"M"
"173","X23",2023-04-17,2023-05-07,2023-06-10,NA,2023,"X"
"174","Y20",2023-04-15,2023-05-04,2023-06-09,NA,2023,"Y"
"175","Y21",NA,NA,NA,2023-05-04,2023,"Y"
"176","Y29",NA,NA,NA,2023-05-04,2023,"Y"
