"","BOX","year","fledglings","fledgling_mass","site","fledgling_massDev"
"284","Y17",2017,2,404.9,"STITHIANS",-54.4
"285","Y17",2018,2,371.8,"STITHIANS",-22.2121212121212
"286","Y17",2019,2,404.4,"STITHIANS",57.5848484848485
"287","Y17",2020,0,0,"STITHIANS",-348.429411764706
"288","Y17",2021,2,458.3,"STITHIANS",218.915151515152
"289","Y17",2022,0,0,"STITHIANS",-310.493939393939
"290","Y17",2023,2,491.8,"STITHIANS",170.309375
"291","Y18",2013,3,397.2,"STITHIANS",202.895238095238
"292","Y18",2014,0,0,"STITHIANS",-329.339285714286
"293","Y18",2015,0,0,"STITHIANS",-520.216129032258
"294","Y18",2016,0,0,"STITHIANS",-442.112121212121
"295","Y18",2017,2,378.9,"STITHIANS",-80.4
"296","Y18",2018,3,630.4,"STITHIANS",236.387878787879
"297","Y18",2019,2,502.8,"STITHIANS",155.984848484848
"298","Y18",2020,0,522.8,"STITHIANS",174.370588235294
"299","Y18",2021,1,213.7,"STITHIANS",-25.6848484848485
"300","Y18",2022,3,567.9,"STITHIANS",257.406060606061
"301","Y18",2023,2,388.1,"STITHIANS",66.6093750000001
"302","Y19",2013,2,479.2,"STITHIANS",284.895238095238
"303","Y19",2014,0,0,"STITHIANS",-329.339285714286
"304","Y19",2015,4,695,"STITHIANS",174.783870967742
"305","Y19",2016,3,580.3,"STITHIANS",138.187878787879
"306","Y19",2017,3,527.7,"PENCOOSE",136.50243902439
"307","Y19",2018,2,391.2,"STITHIANS",-2.81212121212121
"308","Y19",2019,0,0,"STITHIANS",-346.815151515152
"309","Y19",2020,0,604.2,"STITHIANS",255.770588235294
"310","Y19",2021,0,0,"STITHIANS",-239.384848484848
"311","Y19",2022,0,0,"STITHIANS",-310.493939393939
"312","Y19",2023,3,702.8,"STITHIANS",381.309375
"313","Y20",2013,0,0,"STITHIANS",-194.304761904762
"314","Y20",2014,3,636.4,"STITHIANS",307.060714285714
"315","Y20",2015,3,725.2,"STITHIANS",204.983870967742
"316","Y20",2016,3,644,"STITHIANS",201.887878787879
"317","Y20",2017,3,617.7,"STITHIANS",158.4
"318","Y20",2018,3,665,"STITHIANS",270.987878787879
"319","Y20",2019,0,0,"STITHIANS",-346.815151515152
"320","Y20",2020,0,0,"STITHIANS",-348.429411764706
"321","Y20",2021,0,0,"STITHIANS",-239.384848484848
"322","Y20",2022,0,0,"STITHIANS",-310.493939393939
"323","Y20",2023,1,269.9,"STITHIANS",-51.590625
"324","Y21",2013,0,0,"STITHIANS",-194.304761904762
"325","Y21",2014,2,399,"STITHIANS",69.6607142857143
"326","Y21",2015,0,0,"STITHIANS",-520.216129032258
"327","Y21",2016,0,0,"STITHIANS",-442.112121212121
"328","Y21",2017,2,506.8,"STITHIANS",47.5
"329","Y21",2018,3,689,"STITHIANS",294.987878787879
"330","Y21",2019,2,412.8,"STITHIANS",65.9848484848485
"331","Y21",2020,0,0,"STITHIANS",-348.429411764706
"332","Y21",2021,0,0,"STITHIANS",-239.384848484848
"333","Y21",2022,0,0,"STITHIANS",-310.493939393939
"334","Y21",2023,0,0,"STITHIANS",-321.490625
"335","Y22",2013,2,396.2,"STITHIANS",201.895238095238
"336","Y22",2014,0,0,"STITHIANS",-329.339285714286
"337","Y22",2015,2,472.4,"STITHIANS",-47.8161290322581
"338","Y22",2016,2,439.6,"STITHIANS",-2.5121212121212
"339","Y22",2017,0,0,"STITHIANS",-459.3
"340","Y22",2018,2,379.5,"STITHIANS",-14.5121212121212
"341","Y22",2019,2,407,"STITHIANS",60.1848484848485
"342","Y22",2020,0,307.1,"STITHIANS",-41.3294117647059
"343","Y22",2021,0,0,"STITHIANS",-239.384848484848
"344","Y22",2022,2,449.4,"STITHIANS",138.906060606061
"345","Y22",2023,3,637,"STITHIANS",315.509375
"346","Y23",2014,3,726.9,"STITHIANS",397.560714285714
"347","Y23",2015,0,0,"STITHIANS",-520.216129032258
"348","Y23",2016,3,751.7,"STITHIANS",309.587878787879
"349","Y23",2017,2,531.4,"STITHIANS",72.1
"350","Y23",2018,3,712.2,"STITHIANS",318.187878787879
"351","Y23",2019,3,658.8,"STITHIANS",311.984848484848
"352","Y23",2020,0,481.4,"STITHIANS",132.970588235294
"353","Y23",2021,2,470.5,"STITHIANS",231.115151515152
"354","Y23",2022,2,468.8,"STITHIANS",158.306060606061
"355","Y23",2023,3,649.3,"STITHIANS",327.809375
"356","Y24",2014,0,0,"STITHIANS",-329.339285714286
"357","Y24",2015,2,485.3,"STITHIANS",-34.9161290322581
"358","Y24",2016,2,467.2,"STITHIANS",25.0878787878788
"359","Y24",2017,2,379,"STITHIANS",-80.3
"360","Y24",2018,3,616.3,"STITHIANS",222.287878787879
"361","Y24",2019,2,454.4,"STITHIANS",107.584848484848
"362","Y24",2020,0,593,"STITHIANS",244.570588235294
"363","Y24",2021,0,0,"STITHIANS",-239.384848484848
"364","Y24",2022,3,633,"STITHIANS",322.506060606061
"365","Y24",2023,1,205.1,"STITHIANS",-116.390625
"366","Y25",2013,0,0,"STITHIANS",-194.304761904762
"367","Y25",2014,4,858.5,"STITHIANS",529.160714285714
"368","Y25",2015,1,247.5,"STITHIANS",-272.716129032258
"369","Y25",2016,3,603.2,"STITHIANS",161.087878787879
"370","Y25",2017,2,477.9,"STITHIANS",18.6
"371","Y25",2018,2,427.9,"STITHIANS",33.8878787878788
"372","Y25",2019,2,452.5,"STITHIANS",105.684848484848
"373","Y25",2020,0,465.3,"STITHIANS",116.870588235294
"374","Y25",2021,1,196.2,"STITHIANS",-43.1848484848485
"375","Y25",2022,2,417.1,"STITHIANS",106.606060606061
"376","Y25",2023,2,430,"STITHIANS",108.509375
"377","Y26",2014,2,350.7,"STITHIANS",21.3607142857143
"378","Y26",2015,2,449.5,"STITHIANS",-70.7161290322581
"379","Y26",2016,3,509.6,"STITHIANS",67.4878787878788
"380","Y26",2017,3,570.1,"STITHIANS",110.8
"381","Y26",2018,2,367.1,"STITHIANS",-26.9121212121212
"382","Y26",2019,2,464.3,"STITHIANS",117.484848484848
"383","Y26",2020,0,438.2,"STITHIANS",89.7705882352942
"384","Y26",2021,1,189.3,"STITHIANS",-50.0848484848485
"385","Y26",2022,3,594.2,"STITHIANS",283.706060606061
"386","Y26",2023,2,457.3,"STITHIANS",135.809375
"387","Y27",2013,0,409,"STITHIANS",214.695238095238
"388","Y27",2014,1,232.7,"STITHIANS",-96.6392857142857
"389","Y27",2015,3,626.9,"STITHIANS",106.683870967742
"390","Y27",2016,0,0,"STITHIANS",-442.112121212121
"391","Y27",2017,0,0,"STITHIANS",-459.3
"392","Y27",2018,0,0,"STITHIANS",-394.012121212121
"393","Y27",2019,0,0,"STITHIANS",-346.815151515152
"394","Y27",2020,0,530.4,"STITHIANS",181.970588235294
"395","Y27",2021,3,589.3,"STITHIANS",349.915151515151
"396","Y27",2022,2,462.9,"STITHIANS",152.406060606061
"397","Y27",2023,2,390.8,"STITHIANS",69.309375
"398","Y28",2013,2,444.8,"STITHIANS",250.495238095238
"399","Y28",2014,0,0,"STITHIANS",-329.339285714286
"400","Y28",2015,3,608.8,"STITHIANS",88.5838709677419
"401","Y28",2016,0,0,"STITHIANS",-442.112121212121
"402","Y28",2017,1,241.3,"STITHIANS",-218
"403","Y28",2018,2,447.2,"STITHIANS",53.1878787878788
"404","Y28",2019,2,408.3,"STITHIANS",61.4848484848484
"405","Y28",2020,0,0,"STITHIANS",-348.429411764706
"406","Y28",2021,2,414,"STITHIANS",174.615151515152
"407","Y28",2022,2,460.4,"STITHIANS",149.906060606061
"408","Y28",2023,0,0,"STITHIANS",-321.490625
"409","Y29",2013,2,466.4,"STITHIANS",272.095238095238
"410","Y29",2014,3,703.1,"STITHIANS",373.760714285714
"411","Y29",2015,3,635.2,"STITHIANS",114.983870967742
"412","Y29",2016,3,516.2,"STITHIANS",74.0878787878788
"413","Y29",2017,2,427,"STITHIANS",-32.3
"414","Y29",2018,0,0,"STITHIANS",-394.012121212121
"415","Y29",2019,0,0,"STITHIANS",-346.815151515152
"416","Y29",2020,0,0,"STITHIANS",-348.429411764706
"417","Y29",2021,0,0,"STITHIANS",-239.384848484848
"418","Y29",2022,0,0,"STITHIANS",-310.493939393939
"419","Y29",2023,0,0,"STITHIANS",-321.490625
"420","Y29",2024,0,0,"STITHIANS",0
"421","Y30",2014,2,414.3,"STITHIANS",84.9607142857142
"422","Y30",2015,1,358.2,"STITHIANS",-162.016129032258
"423","Y30",2016,0,536.6,"STITHIANS",94.4878787878788
"424","Y30",2017,2,461.7,"STITHIANS",2.40000000000003
"425","Y30",2018,2,551.5,"STITHIANS",157.487878787879
"426","Y30",2019,2,418.9,"STITHIANS",72.0848484848485
"427","Y30",2020,0,213.6,"STITHIANS",-134.829411764706
"428","Y30",2021,1,233.6,"STITHIANS",-5.78484848484848
"429","Y30",2022,2,446.6,"STITHIANS",136.106060606061
"430","Y30",2023,2,439.4,"STITHIANS",117.909375
"431","Y30",2024,0,0,"STITHIANS",0
"432","Y31",2014,2,482.2,"STITHIANS",152.860714285714
"433","Y31",2015,3,685.2,"STITHIANS",164.983870967742
"434","Y31",2016,2,447.7,"STITHIANS",5.58787878787882
"435","Y31",2017,2,431.8,"STITHIANS",-27.5
"436","Y31",2018,1,209.3,"STITHIANS",-184.712121212121
"437","Y31",2019,1,231,"STITHIANS",-115.815151515152
"438","Y31",2020,0,479.2,"STITHIANS",130.770588235294
"439","Y31",2021,2,472.3,"STITHIANS",232.915151515152
"440","Y31",2022,1,260.6,"STITHIANS",-49.8939393939394
"441","Y31",2023,0,0,"STITHIANS",-321.490625
"442","Y31",2024,0,0,"STITHIANS",0
"443","Y32",2015,3,714.7,"STITHIANS",194.483870967742
"444","Y32",2016,2,472.9,"STITHIANS",30.7878787878788
"445","Y32",2017,2,419.5,"STITHIANS",-39.8
"446","Y32",2018,2,447.9,"STITHIANS",53.8878787878788
"447","Y32",2019,3,568.3,"STITHIANS",221.484848484848
"448","Y32",2020,0,416.8,"STITHIANS",68.3705882352941
"449","Y32",2021,2,424.5,"STITHIANS",185.115151515152
"450","Y32",2022,3,581.9,"STITHIANS",271.406060606061
"451","Y32",2023,1,216.3,"STITHIANS",-105.190625
"452","Y33",2015,2,482.6,"STITHIANS",-37.6161290322581
"453","Y33",2016,3,669.3,"STITHIANS",227.187878787879
"454","Y33",2017,1,264.5,"STITHIANS",-194.8
"455","Y33",2018,2,456.4,"STITHIANS",62.3878787878788
"456","Y33",2019,2,446.5,"STITHIANS",99.6848484848485
"457","Y33",2020,0,381.7,"STITHIANS",33.2705882352942
