"","DATE","OBSERVER","ID","BOX","BTO","COMBINATION","RFID.GEN","RFID","CODE","EXACT","SEX","AGE","WING","TARSUS","WEIGHT","HEADBILL","BILL","BP","BLED.CORT","BLED.SEX","FEATHER","PARTNER.ID","MOTHER.ID","FATHER.ID","TIME","COMPANIONS","RFID.WORKS","RFID.CHANGED","AGGR","BITES","WRIG","TONIC","ATTEMPT","MOULT","LOCATION","NOTES","year","known_age","min_age"
"70",2013-06-05,"GM","J261","","EY40953","BMRP",NA,"010C1128A4","RINGED",1,"M","1","140","44.2",211.2,"","","",0,1,0,"","","","30-12-1899 14:30:00","J262 = sibling",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Haybarn northern bag nest",2013,1,11
"71",2013-06-05,"GM","J262","","EY40954","BMBZP",NA,"010C11501E","RINGED",1,"F","1","138","42.9",210,"","","",0,1,0,"","","","30-12-1899 14:45:00","J261 = sibling",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Haybarn northern bag nest",2013,1,11
"72",2013-06-05,"GM","J164","Z19","EY40955","BMWP",NA,"010C116DC1","RINGED",1,"F","1","118","43.2",234.5,"","","",1,1,0,"","J249","J267","30-12-1899 15:15:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,1,11
"73",2013-06-06,"GM","J104","Y10","EY40936","BMOV",NA,"010C11487A","RINGED",1,"M","1","143","45.3",235.4,"","","",0,0,0,"","J264","J292","30-12-1899 16:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","",2013,1,11
"74",2013-06-06,"GM","J125","Y10","EY40937","BMYV",NA,"010C11728E","RINGED",1,"M","1","134","43.2",210.7,"","","",0,0,0,"","J264","J292","30-12-1899 16:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","",2013,1,11
"75",2013-06-06,"GM","J158","Y10","EY40938","BMGV",NA,"010C11A06E","RINGED",1,"M","1","125","44.6",208,"","","",0,0,0,"","J264","J292","30-12-1899 16:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","",2013,1,11
"76",2013-06-06,"GM","J84","Y09","EY40932","BMRV",NA,"010C119E7A","RINGED",1,"F","1","136","43.8",156.4,"","","",0,0,0,"","J291","J263","30-12-1899 16:30:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","",2013,1,11
"77",2013-06-06,"GM","J103","Y09","EY40933","BMWV",NA,"010C119710","RINGED",1,"M","1","148","46.6",234.7,"","","",0,0,0,"","J291","J263","30-12-1899 16:30:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","",2013,1,11
"78",2013-06-07,"GM","J83","Y07","EY40930","BMRZV",NA,"010C118760","RINGED",1,"M","1","135","42.9",231.5,"","","",0,0,0,"","J250","J290","30-12-1899 15:15:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","",2013,1,11
"79",2013-06-07,"GM","J123","Y07","EY40931","BMBV",NA,"010C10F67D","RINGED",1,"F","1","136","42.0",210.9,"","","",0,0,0,"","J250","J290","30-12-1899 15:15:00","",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","",2013,1,11
