"","box","date","phase","site","eggs","chicks","eggDev","chickDev","mean_chick_weight","interpolled","mean_weightDev"
"140","Y26","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"141","Y11","2022-04-16","Incubation","Y",5,0,3.74285714285714,0,NA,NA,NA
"142","Y12","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"143","Y30","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"144","Y31","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"145","Y23","2022-04-16","Incubation","Y",3,0,1.74285714285714,0,NA,NA,NA
"146","Z32","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"147","Z34","2022-04-16",NA,"Z",0,0,-1.35714285714286,0,NA,NA,NA
"148","Z22","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"149","Y04","2022-04-16","Incubation","Y",5,0,3.74285714285714,0,NA,NA,NA
"150","Z13","2022-04-16","Incubation","Z",3,0,1.64285714285714,0,NA,NA,NA
"151","Z25","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"152","Z10","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"153","Z23","2022-04-16","Incubation","Z",2,0,0.642857142857143,0,NA,NA,NA
"154","Y14","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"155","X01","2022-04-16",NA,"X",0,0,-1.29411764705882,0,NA,NA,NA
"156","X27","2022-04-16","Pre-Lay","X",0,0,-1.29411764705882,0,NA,NA,NA
"157","X35","2022-04-16","Incubation","X",3,0,1.70588235294118,0,NA,NA,NA
"158","Y34","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"159","Y13","2022-04-16",NA,"Y",0,0,-1.25714285714286,0,NA,NA,NA
"160","X28","2022-04-16",NA,"X",0,0,-1.29411764705882,0,NA,NA,NA
"161","Y24","2022-04-16","Incubation","Y",4,0,2.74285714285714,0,NA,NA,NA
"162","Y32","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"163","Y33","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"164","Z31","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"165","Z02","2022-04-16","Incubation","Z",2,0,0.642857142857143,0,NA,NA,NA
"166","Z08","2022-04-16","Incubation","Z",2,0,0.642857142857143,0,NA,NA,NA
"167","Z26","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"168","Z43","2022-04-16","Incubation","Z",2,0,0.642857142857143,0,NA,NA,NA
"169","Y35","2022-04-16","Incubation","Y",3,0,1.74285714285714,0,NA,NA,NA
"170","Z38","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"171","Z18","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"172","Z05","2022-04-16","Incubation","Z",2,0,0.642857142857143,0,NA,NA,NA
"173","Z29","2022-04-16","Incubation","Z",3,0,1.64285714285714,0,NA,NA,NA
"174","Z41","2022-04-16","Incubation","Z",5,0,3.64285714285714,0,NA,NA,NA
"175","Z44","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"176","Z16","2022-04-16","Incubation","Z",2,0,0.642857142857143,0,NA,NA,NA
"177","Z17","2022-04-16","Incubation","Z",2,0,0.642857142857143,0,NA,NA,NA
"178","Z33","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"179","Z37","2022-04-16",NA,"Z",0,0,-1.35714285714286,0,NA,NA,NA
"180","Z03","2022-04-16","Incubation","Z",4,0,2.64285714285714,0,NA,NA,NA
"181","Z45","2022-04-16","Incubation","Z",1,0,-0.357142857142857,0,NA,NA,NA
"182","Z39","2022-04-16","Incubation","Z",5,0,3.64285714285714,0,NA,NA,NA
"183","Z42","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"184","Z40","2022-04-16","Incubation","Z",1,0,-0.357142857142857,0,NA,NA,NA
"185","Z21","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"186","Z35","2022-04-16","Incubation","Z",2,0,0.642857142857143,0,NA,NA,NA
"187","X20","2022-04-16","Pre-Lay","X",0,0,-1.29411764705882,0,NA,NA,NA
"188","X21","2022-04-16","Pre-Lay","X",0,0,-1.29411764705882,0,NA,NA,NA
"189","X22","2022-04-16","Pre-Lay","X",0,0,-1.29411764705882,0,NA,NA,NA
"190","MW02","2022-04-16",NA,"M",0,0,0,0,NA,NA,NA
"191","Z09","2022-04-16","Incubation","Z",3,0,1.64285714285714,0,NA,NA,NA
"192","X18","2022-04-16","Incubation","X",3,0,1.70588235294118,0,NA,NA,NA
"193","MW06","2022-04-16",NA,"M",0,0,0,0,NA,NA,NA
"194","M03","2022-04-16",NA,"M",0,0,0,0,NA,NA,NA
"195","MW01","2022-04-16",NA,"M",0,0,0,0,NA,NA,NA
"196","Z46","2022-04-16",NA,"Z",0,0,-1.35714285714286,0,NA,NA,NA
"197","Z30","2022-04-17","Pre-Lay","Z",0,0,-1.78571428571429,0,NA,NA,NA
"198","Y27","2022-04-17","Pre-Lay","Y",0,0,-1.6,0,NA,NA,NA
"199","Z15","2022-04-17","Incubation","Z",5,0,3.21428571428571,0,NA,NA,NA
"200","Y15","2022-04-17",NA,"Y",0,0,-1.6,0,NA,NA,NA
"201","Z24","2022-04-17","Incubation","Z",1,0,-0.785714285714286,0,NA,NA,NA
"202","Z14","2022-04-17","Incubation","Z",4,0,2.21428571428571,0,NA,NA,NA
"203","X33","2022-04-17","Incubation","X",3,0,1.47058823529412,0,NA,NA,NA
"204","Y06","2022-04-17","Pre-Lay","Y",0,0,-1.6,0,NA,NA,NA
"205","Y19","2022-04-17","Pre-Lay","Y",0,0,-1.6,0,NA,NA,NA
"206","Y25","2022-04-17","Pre-Lay","Y",0,0,-1.6,0,NA,NA,NA
"207","X31","2022-04-17","Incubation","X",5,0,3.47058823529412,0,NA,NA,NA
