"","site","date","phase"
"447","X",2022-05-24,"Provisioning"
"448","X",2022-05-25,"Provisioning"
"449","X",2022-05-26,"Provisioning"
"450","X",2022-05-27,"Provisioning"
"451","X",2022-05-28,"Provisioning"
"452","X",2022-05-29,"Provisioning"
"453","X",2022-05-30,"Provisioning"
"454","X",2022-05-31,"Provisioning"
"455","X",2022-06-01,"Provisioning"
"456","X",2022-06-02,"Provisioning"
"457","X",2022-06-03,"Provisioning"
"458","X",2022-06-04,"Provisioning"
"459","X",2022-06-05,"Provisioning"
"460","X",2022-06-06,"Provisioning"
"461","X",2022-06-07,"Provisioning"
"462","X",2022-06-08,"Provisioning"
"463","X",2022-06-09,"Fledge"
"464","X",2022-06-10,"Fledge"
"465","X",2022-06-11,"Fledge"
"466","X",2022-06-12,"Fledge"
"467","X",2022-06-13,"Fledge"
"468","X",2022-06-14,"Fledge"
"469","X",2022-06-15,"Fledge"
"470","X",2022-06-16,"Fledge"
"471","X",2022-06-17,"Fledge"
"472","X",2022-06-18,"Fledge"
"473","X",2022-06-19,"Fledge"
"474","X",2022-06-20,"Fledge"
"475","X",2022-06-21,"Fledge"
"476","X",2022-06-22,"Fledge"
"477","X",2022-06-23,"Fledge"
"478","X",2022-06-24,"Fledge"
"479","X",2022-06-25,"Fledge"
"480","X",2022-06-26,"Fledge"
"481","X",2022-06-27,"Fledge"
"482","X",2022-06-28,"Fledge"
"483","X",2022-06-29,"Fledge"
"484","X",2023-03-25,"Pre-Lay"
"485","X",2023-03-26,"Pre-Lay"
"486","X",2023-03-27,"Pre-Lay"
"487","X",2023-03-28,"Pre-Lay"
"488","X",2023-03-29,"Pre-Lay"
"489","X",2023-03-30,"Pre-Lay"
"490","X",2023-03-31,"Pre-Lay"
"491","X",2023-04-01,"Pre-Lay"
"492","X",2023-04-02,"Pre-Lay"
"493","X",2023-04-03,"Pre-Lay"
"494","X",2023-04-04,"Pre-Lay"
"495","X",2023-04-05,"Pre-Lay"
"496","X",2023-04-06,"Pre-Lay"
"497","X",2023-04-07,"Pre-Lay"
"498","X",2023-04-08,"Pre-Lay"
"499","X",2023-04-09,"Pre-Lay"
"500","X",2023-04-10,"Pre-Lay"
"501","X",2023-04-11,"Pre-Lay"
"502","X",2023-04-12,"Pre-Lay"
"503","X",2023-04-13,"Pre-Lay"
"504","X",2023-04-14,"Pre-Lay"
"505","X",2023-04-15,"Pre-Lay"
"506","X",2023-04-16,"Pre-Lay"
"507","X",2023-04-17,"Incubation"
"508","X",2023-04-18,"Incubation"
"509","X",2023-04-19,"Incubation"
"510","X",2023-04-20,"Incubation"
"511","X",2023-04-21,"Incubation"
"512","X",2023-04-22,"Incubation"
"513","X",2023-04-23,"Incubation"
"514","X",2023-04-24,"Incubation"
"515","X",2023-04-25,"Incubation"
"516","X",2023-04-26,"Incubation"
"517","X",2023-04-27,"Incubation"
"518","X",2023-04-28,"Incubation"
"519","X",2023-04-29,"Incubation"
"520","X",2023-04-30,"Incubation"
"521","X",2023-05-01,"Incubation"
"522","X",2023-05-02,"Incubation"
"523","X",2023-05-03,"Incubation"
"524","X",2023-05-04,"Incubation"
"525","X",2023-05-05,"Incubation"
"526","X",2023-05-06,"Incubation"
"527","X",2023-05-07,"Provisioning"
"528","X",2023-05-08,"Provisioning"
"529","X",2023-05-09,"Provisioning"
"530","X",2023-05-10,"Provisioning"
"531","X",2023-05-11,"Provisioning"
"532","X",2023-05-12,"Provisioning"
"533","X",2023-05-13,"Provisioning"
"534","X",2023-05-14,"Provisioning"
"535","X",2023-05-15,"Provisioning"
"536","X",2023-05-16,"Provisioning"
"537","X",2023-05-17,"Provisioning"
"538","X",2023-05-18,"Provisioning"
"539","X",2023-05-19,"Provisioning"
"540","X",2023-05-20,"Provisioning"
"541","X",2023-05-21,"Provisioning"
"542","X",2023-05-22,"Provisioning"
"543","X",2023-05-23,"Provisioning"
"544","X",2023-05-24,"Provisioning"
"545","X",2023-05-25,"Provisioning"
"546","X",2023-05-26,"Provisioning"
"547","X",2023-05-27,"Provisioning"
"548","X",2023-05-28,"Provisioning"
"549","X",2023-05-29,"Provisioning"
"550","X",2023-05-30,"Provisioning"
"551","X",2023-05-31,"Provisioning"
"552","X",2023-06-01,"Provisioning"
"553","X",2023-06-02,"Provisioning"
"554","X",2023-06-03,"Provisioning"
"555","X",2023-06-04,"Provisioning"
"556","X",2023-06-05,"Provisioning"
"557","X",2023-06-06,"Provisioning"
"558","X",2023-06-07,"Provisioning"
"559","X",2023-06-08,"Provisioning"
"560","X",2023-06-09,"Provisioning"
"561","X",2023-06-10,"Fledge"
